chr	pos	rate	cM
chr4	167596	0.017168725	0
chr4	200631	0.015201	0.000567168830375
chr4	252804	0.02386435	0.001360250603375
chr4	282499	0.0697757	0.002068902476625
chr4	305291	0.33873	0.003659230231025
chr4	308010	3.58603425	0.00458023710102501
chr4	315673	5.68460065	0.0320600175587749
chr4	321902	0.0411536000000003	0.0674693950076251
chr4	338851	0.0445657999999994	0.0681669073740251
chr4	352955	0.0327881500000008	0.0687954634172251
chr4	367927	0.867957499999727	0.0692863675990252
chr4	367956	0.1214398	0.0693115383665251
chr4	415311	0.387334649999999	0.0750623200955251
chr4	419565	0.0962135999999999	0.0767100416966252
chr4	452106	0.1495531	0.0798409284542251
chr4	470103	0.314756150000002	0.0825324355949252
chr4	475468	0.0244529499999999	0.0842211023396752
chr4	497138	0.0795322499999996	0.0847509977661752
chr4	500500	0.165924499999999	0.0850183851906752
chr4	502911	5.2536015	0.0854184291601752
chr4	507001	0.244061499999997	0.106905659295175
chr4	509178	0.1614685	0.107436981180675
chr4	514201	0.21981	0.108248037456175
chr4	517461	0.0524088000000003	0.108964618056175
chr4	533399	0.0959779500000004	0.109799909510575
chr4	540025	2.2731305	0.110435859407275
chr4	541182	0.950961	0.113065871395776
chr4	644410	0.0679380999999999	0.211231673503776
chr4	658304	2.138143	0.212175605465175
chr4	686563	13.6728875	0.272597388502176
chr4	694613	3.76459999999999	0.382664132877176
chr4	696848	0.443540100000003	0.391078013877176
chr4	703813	0.0650918999999977	0.394167270673676
chr4	712222	0.0362212500000003	0.394714628460776
chr4	732261	0.111128950000009	0.395440466089526
chr4	735150	0.0784254999999969	0.395761517626076
chr4	741742	0.278703500000001	0.396278498522076
chr4	744098	2.720933	0.396935123968076
chr4	747810	3.5001505	0.407035227264075
chr4	753944	0.19115750000002	0.428505150431075
chr4	755025	0.0248628499999989	0.428711791688575
chr4	786401	0.0839262999999958	0.429491888470175
chr4	790757	0.112278550000008	0.429857471432975
chr4	793929	0.159385500000007	0.430213618993575
chr4	795890	0.319436500000007	0.430526173959075
chr4	796405	0.139166349999997	0.430690683756575
chr4	798511	0.458918499999913	0.430983768089675
chr4	798817	1.05472850000007	0.431124197150675
chr4	798962	5.0902124	0.431277132783175
chr4	809593	0.466472000000111	0.485391180807575
chr4	809787	0.106060650000008	0.485481676375576
chr4	812598	0.0509051999999966	0.485779812862726
chr4	821490	0.0665432000000031	0.486232461901126
chr4	830601	0.0566987999999971	0.486838736996326
chr4	843184	0.429888500000058	0.487552177996726
chr4	843508	0.635502849999997	0.487691461870726
chr4	852313	0.391510200000003	0.493287064464975
chr4	865227	0.127123299999998	0.498343027187776
chr4	867866	0.100095899999994	0.498678505576476
chr4	870914	0.0277793000000002	0.498983597879676
chr4	894255	0.128988550000014	0.499631994520976
chr4	896486	1.1250585	0.499919767976026
chr4	899143	0.339887649999999	0.502909048410526
chr4	925149	0.129403950000004	0.511748166636426
chr4	928684	0.578842050000001	0.512205609599676
chr4	939113	0.109240799999992	0.518242353339125
chr4	942439	0.104072350000004	0.518605688239925
chr4	946974	0.049461699999999	0.519077656347176
chr4	964359	0.207431000000026	0.519937548001675
chr4	965779	0.0701917999999971	0.520232100021676
chr4	976918	0.0989242999999977	0.521013966481875
chr4	983060	0.364090000000008	0.521621559532476
chr4	987343	1.5240537	0.523180957002476
chr4	1003022	0.865286499999997	0.547076594964776
chr4	1011115	1.72519	0.554079358609276
chr4	1019011	5.99032	0.567701458849275
chr4	1024752	0.388501999999998	0.602091885969277
chr4	1045171	80.6791950000005	0.610024708307277
chr4	1045323	0.502591999999997	0.622287945947271
chr4	1051512	1.10642549999998	0.625398487835271
chr4	1052488	0.386786499999968	0.626478359123271
chr4	1053172	1.50942000000002	0.626742921089271
